reference,category,type,subject,date,notifying_country,classification,risk_decision
"2021.3457","fruits and vegetables","food","chlorpyrifos-ethyl in Limes from Brazil","01-07-2021 11:11:39","Netherlands","alert notification","serious"
"2021.3453","cereals and bakery products","food","Allergens not declared in English in blueberry muffins and cookies from Ireland","01-07-2021 09:29:38","European Commission","alert notification","serious"
"2021.3452","other food product / mixed","food","Foreign body in frozen ham spätzle meal from Germany","30-06-2021 17:58:05","Germany","alert notification","serious"
"2021.3446","other food product / mixed","food","Excessive levels of iprodione, carbendazim and thiophanate-methyl in pickled grape leaves from the United Arab Emirates","30-06-2021 16:32:47","Germany","information notification for follow-up","undecided"
"2021.3443","poultry meat and poultry meat products","food","Salmonella Infantis in chilled chicken leg quarters from Poland","30-06-2021 15:59:02","Latvia","information notification for attention","not serious"
"2021.3441","poultry meat and poultry meat products","food","Salmonella Enterica ser. Enteritidis and Salmonella Infantis in chilled chicken meat","30-06-2021 15:49:27","Czech Republic","information notification for attention","serious"
"2021.3440","poultry meat and poultry meat products","food","Salmonella group C (in 5 out of 5 samples /25g) in chilled chicken hearts from Poland","30-06-2021 15:31:24","Lithuania","information notification for attention","not serious"
"2021.3439","compound feeds","feed","high content of zinc and of copper in complementary feed for multiple types of animals from France","30-06-2021 15:00:50","Belgium","information notification for follow-up","not serious"
"2021.3437","milk and milk products","food","Ethylene oxide in additive used in cheese cream","30-06-2021 14:27:05","Sweden","information notification for attention","undecided"
"2021.3436","prepared dishes and snacks","food","Listeria in pasta salad with tuna from Belgium","30-06-2021 13:55:18","Belgium","alert notification","serious"
"2021.3433","fruits and vegetables","food","cypermethrin, propiconazole, thiophanate-methyl, lambda-cyhalothrin, cyfluthrin and unauthorised substances chlorpyrifos, carbendazim and fipronil in grape leaves from the United Arab Emirates, dispatched from Egypt","30-06-2021 12:58:00","Germany","information notification for attention","undecided"
"2021.3432","cocoa and cocoa preparations, coffee and tea","food","tetrahydrocannabinol in herbal tea from Germany","30-06-2021 12:16:48","Germany","alert notification","serious"
"2021.3430","poultry meat and poultry meat products","food","Salmonella spp. in fresh chicken broiler fillet from Poland","30-06-2021 10:14:09","Lithuania","information notification for attention","not serious"
"2021.3427","nuts, nut products and seeds","food","aflatoxins in groundnuts from India","30-06-2021 08:29:08","Italy","border rejection notification","serious"
"2021.3426","fruits and vegetables","food","Chlorpyrifos-methyl in dried organic figs from Turkey","29-06-2021 17:18:36","Germany","information notification for follow-up","undecided"
"2021.3425","fruits and vegetables","food","Chloorpyrifos ethyl 0.022 (MRL 0.01 ppm) on Nashi Pears from China via Spain","29-06-2021 17:16:55","Netherlands","information notification for attention","serious"
"2021.3423","fruits and vegetables","food","prochloraz in mangos from Peru","29-06-2021 16:10:12","Netherlands","information notification for attention","serious"
"2021.3420","poultry meat and poultry meat products","food","Salmonella Typhimurium in turkey meat","29-06-2021 15:13:06","Poland","information notification for attention","serious"
"2021.3419","bivalve molluscs and products thereof","food","too high count of Escherichia coli in live mussels (Mytilus edulis) from the Netherlands","29-06-2021 15:06:39","France","information notification for attention","serious"
"2021.3416","poultry meat and poultry meat products","food","Salmonella infantis in poultry meat from Poland ","29-06-2021 14:40:06","Italy","information notification for follow-up","not serious"
"2021.3414","fruits and vegetables","food","Salmonella in whole banana chips from the Philippines","29-06-2021 13:55:25","Netherlands","alert notification","serious"
"2021.3413","feed materials","feed","Salmonella (S. Havana) in soybean feed","29-06-2021 13:50:17","Switzerland","information notification for follow-up","not serious"
"2021.3412","fish and products thereof ","food","smoked trout - Listeria monocytogenes","29-06-2021 13:37:54","France","information notification for attention","undecided"
"2021.3411","cereals and bakery products","food","Foreign bodies (glass fragment, beetle and beetle fragments) in freekeh from Turkey","29-06-2021 13:22:51","Germany","information notification for attention","serious"
"2021.3407","non-alcoholic beverages","food","Unauthorised novel food in herbal tea drink from China","29-06-2021 12:30:18","Finland","border rejection notification","undecided"
"2021.3406","herbs and spices","food","Salmonella detected in mustard seed from Russia","29-06-2021 12:23:33","Netherlands","alert notification","serious"
"2021.3405","cereals and bakery products","food","Ethylene oxide in organic linseed from India","29-06-2021 12:15:06","Germany","information notification for attention","undecided"
"2021.3401","herbs and spices","food","Salmonella in black pepper from Brazil","29-06-2021 11:00:45","Netherlands","border rejection notification","serious"
"2021.3397","fruits and vegetables","food","MANGOS, ADITIVOS RECUBRIMIENTO NO AUTORIZADOS, BRASIL // MANGO, UNAUTHORIZED COATING ADDITIVES, BRAZIL","28-06-2021 16:52:53","Spain","border rejection notification","undecided"
"2021.3395","cereals and bakery products","food","absence of residue monitoring plan for chocolate and hazelnut wafers from the Dominican Republic","28-06-2021 16:45:49","Spain","border rejection notification","undecided"
"2021.3393","poultry meat and poultry meat products","food","Salmonella Enteritidis in fresh chicken meat from Poland","28-06-2021 16:39:29","Poland","information notification for attention","not serious"
"2021.3390","soups, broths, sauces and condiments","food","Foreign body (glass fragments) in salsa dip from Belgium","28-06-2021 16:12:07","Germany","alert notification","serious"
"2021.3389","fruits and vegetables","food","Excessive levels of lead in onion powder from India","28-06-2021 16:01:39","Germany","information notification for attention","serious"
"2021.3388","meat and meat products (other than poultry)","food","Salmonella Infantis in frozen dumplings from Lithuania","28-06-2021 15:56:26","Lithuania","alert notification","serious"
"2021.3387","poultry meat and poultry meat products","food","Salmonella Enteritidis (1 out 5 samples) and Salmonella spp. (5 out 5 samples) in frozen and chilled chicken elements from Poland","28-06-2021 15:42:10","Poland","alert notification","serious"
"2021.3386","fish and products thereof ","food","histamine in chilled yellowfin tuna from Sri Lanka","28-06-2021 15:17:45","France","information notification for attention","serious"
"2021.3385","nuts, nut products and seeds","food","undeclared presence of allergens in peanut butter from the Netherlands","28-06-2021 15:03:33","Netherlands","alert notification","serious"
"2021.3384","food contact materials","food contact material","migration of primary aromatic amines (4,4'- methylenedianiline and aniline) from kitchen tongs ","28-06-2021 14:58:15","Italy","border rejection notification","serious"
"2021.3382","other food product / mixed","food","Undeclared allergen gluten in organic soy flour from Bulgaria","28-06-2021 13:30:46","Germany","alert notification","serious"
"2021.3380","herbs and spices","food","Ethylene oxide in curcumin from India","28-06-2021 12:40:32","Belgium","alert notification","serious"
"2021.3379","herbs and spices","food","Ethylene oxide in curcuma (organic)","28-06-2021 11:57:33","Belgium","alert notification","serious"
"2021.3375","other food product / mixed","food","Ethylene oxide in ginger extract from France","25-06-2021 18:57:47","Belgium","alert notification","serious"
"2021.2971","dietetic foods, food supplements and fortified foods","food","overdosages of zinc and vitamin C ; non authorised health claims on www.nutrition-world.at","25-06-2021 17:07:02","Switzerland","non-compliance notification","undecided"
"2021.3373","poultry meat and poultry meat products","food","Salmonella Infantis in chicken","25-06-2021 17:04:42","Poland","information notification for follow-up","not serious"
"2021.3372","dietetic foods, food supplements and fortified foods","food","Ethylene oxide in organic ashwagandha extract from India","25-06-2021 16:37:31","Belgium","alert notification","serious"
"2021.3371","non-alcoholic beverages","food","Foreign body (plastic fragment) in organic vegetable juice mixture from Spain, via Germany","25-06-2021 16:34:22","Germany","alert notification","serious"
"2021.3370","soups, broths, sauces and condiments","food","OGM Riso istantaneo / GMO in instant rice","25-06-2021 15:31:19","Italy","border rejection notification","undecided"
"2021.3369","prepared dishes and snacks","food","soya and wheat undeclared on frozen tiramisu from Belgium","25-06-2021 15:25:04","Belgium","alert notification","serious"
"2021.3368","herbs and spices","food","Unauthorized colours Orange II and Sudan I in chili pepper (powder) from Togo","25-06-2021 15:10:48","Belgium","alert notification","serious"
"2021.3367","nuts, nut products and seeds","food","Salmonella group C in Sesame seeds","25-06-2021 14:55:11","Poland","alert notification","serious"
"2021.3363","fruits and vegetables","food","unauthorized coating additive (E 905 microcrystalline wax) in cassava (Manihot esculenta) from Costa Rica/ Yuca-ADITIVOS NO AUTORIZADOS en agentes de recubrimiento- Costa Rica","25-06-2021 12:47:27","Spain","border rejection notification","undecided"
"2021.3362","fruits and vegetables","food","improper health certificate for frozen peppers (Capsicum spp) from India, via the United Kingdom","25-06-2021 12:44:14","Spain","border rejection notification","not serious"
"2021.3359","meat and meat products (other than poultry)","food","Lead in wild boar salami from Italy","25-06-2021 12:09:34","Austria","information notification for attention","undecided"
"2021.3358","feed materials","feed","Ambrosia in White millet from France","25-06-2021 11:39:48","Belgium","alert notification","serious"
"2021.3356","food contact materials","food contact material","migration of chromium (up to 0.66 mg/kg - ppm) from steel forks from China, via Germany","25-06-2021 10:31:20","Italy","alert notification","undecided"
"2021.3355","food contact materials","food contact material","migration of primary aromatic amines from nylon spaghetti scoops from unknown origin via Poland","25-06-2021 10:12:33","Slovakia","alert notification","serious"
"2021.3354","herbs and spices","food","Salmonella in Brazilian black pepper","25-06-2021 09:59:53","Netherlands","border rejection notification","serious"
"2021.3353","fruits and vegetables","food","Undeclared sulfur dioxide in candied ginger from the Czech Republic","25-06-2021 09:24:37","Denmark","alert notification","serious"
"2021.3352","fruits and vegetables","food","Undeclared sulfur dioxide in dried shiitake mushrooms from Netherlands","25-06-2021 09:06:13","Denmark","information notification for follow-up","serious"
"2021.3351","nuts, nut products and seeds","food","Salmonella in tahini and halva from Syria","25-06-2021 08:47:12","Sweden","alert notification","serious"
"2021.3349","fruits and vegetables","food","Etoxazole and Chlorpyrifos-methylin pepper from Turkey ","25-06-2021 07:53:54","Bulgaria","border rejection notification","undecided"
"2021.3348","poultry meat and poultry meat products","food","Salmonella in chilled pieces of turkey from Poland","24-06-2021 18:15:59","Poland","information notification for follow-up","not serious"
"2021.3345","food contact materials","food contact material","unauthorised use of bamboo in tableware from a Spanish supplier","24-06-2021 17:23:49","Luxembourg","information notification for follow-up","not serious"
"2021.3343","fruits and vegetables","food","Chloorpyrifos-ethyl in orange from Egypt ","24-06-2021 16:33:21","Netherlands","information notification for attention","serious"
"2021.3342","milk and milk products","food","lysozyme undeclared on grana padano cheese from Italy","24-06-2021 16:20:37","Italy","alert notification","serious"
"2021.3341","herbs and spices","food","Salmonella Takoradi in frozen basil from Belgium","24-06-2021 16:09:31","Finland","alert notification","serious"
"2021.3338","fruits and vegetables","food","unauthorised E 1521 - polyethylene glycol as coating agent in apples from Chile / manzanas, agentes de recubrimientos no autorizados, Chile","24-06-2021 15:43:44","Spain","border rejection notification","not serious"
"2021.3337","fats and oils","food","unsuitable means of transport for bulk palm oil from Ecuador","24-06-2021 15:42:44","Spain","border rejection notification","not serious"
"2021.3336","herbs and spices","food","S. Saintpaul, S. Morehead and S. Freetown in black pepper from Brazil ","24-06-2021 15:39:32","Germany","border rejection notification","serious"
"2021.3335","fruits and vegetables","food","unauthorized coating additive (E 905 microcrystalline wax) in cassava (Manihot esculenta) from Costa Rica / Yuca (Manihot esculenta), aditivos no autorizados en agentes de recubrimiento Costa Rica","24-06-2021 15:08:42","Spain","border rejection notification","undecided"
"2021.3333","fruits and vegetables","food","aflatoxins in pistachios without shells from Iran","24-06-2021 14:18:22","Italy","border rejection notification","serious"
"2021.3331","bivalve molluscs and products thereof","food","Diarrhetic Shellfish Poisoning  (DSP) toxins (okadaic acid : 293,6 μg/kg) in frozen stuffed mussels(Mytilus galloprovincialis) from Turkey","24-06-2021 13:27:17","Greece","border rejection notification","serious"
"2021.3330","meat and meat products (other than poultry)","food","Salmonella spp in chilled meat","24-06-2021 12:05:22","Poland","information notification for attention","not serious"
"2021.3329","poultry meat and poultry meat products","food","Salmonella enterica ser. Enteritidis (in 1 out of 5 samples /25g) in frozen poultry meat from Poland","24-06-2021 12:02:56","Poland","alert notification","serious"
"2021.3327","meat and meat products (other than poultry)","food","Pieces of plastic on veal fillet from the Netherlands","24-06-2021 11:21:32","Denmark","information notification for follow-up","not serious"
"2021.3321","fruits and vegetables","food","Acetamiprid in fresh pepper from Turkey ","24-06-2021 08:17:25","Bulgaria","border rejection notification","serious"
"2021.3319","fruits and vegetables","food","Chlorpyrifos in fresh pepper from Turkey ","24-06-2021 08:11:27","Bulgaria","border rejection notification","undecided"
"2021.3318","fruits and vegetables","food","Pirimiphos-methyl and Chlorpyrifos-methyl in fresh peppers from Turkey ","24-06-2021 08:10:03","Bulgaria","border rejection notification","undecided"
"2021.3317","fruits and vegetables","food","unauthorized paraffin coating additive in pineapple (Ananas comosus) from Costa Rica","23-06-2021 18:20:49","Spain","border rejection notification","undecided"
"2021.3316","fruits and vegetables","food","unauthorized paraffin coating additive in pineapple (Ananas comosus) from Costa Rica","23-06-2021 18:17:54","Spain","border rejection notification","undecided"
"2021.3315","fruits and vegetables","food","unauthorized paraffin coating additive in pineapple (Ananas comosus) from Costa Rica","23-06-2021 18:16:13","Spain","border rejection notification","undecided"
"2021.3314","dietetic foods, food supplements and fortified foods","food","Novel food Theakrine in food supplement via Hungary","23-06-2021 18:04:40","Sweden","information notification for follow-up","undecided"
"2021.3313","cereals and bakery products","food","Undeclared peanuts on wafer rolls with hazelnut cream filling from Austria","23-06-2021 17:14:19","Czech Republic","alert notification","serious"
"2021.3149","fruits and vegetables","food","Pesticide residues in mini carrots from the Netherlands","23-06-2021 17:13:22","Denmark","non-compliance notification","undecided"
"2021.3312","nuts, nut products and seeds","food","Aflatoxins in watermelon seeds from the Netherlands","23-06-2021 16:39:42","Germany","alert notification","serious"
"2021.3311","feed materials","feed","Outbreak of feline pancytopenia associated with dry cat food from the United Kingdom","23-06-2021 16:25:38","European Commission","news","serious"
"2021.3310","fruits and vegetables","food"," aflatoxins in pistachio in shell from Iran","23-06-2021 16:16:27","Italy","border rejection notification","serious"
"2021.3309","poultry meat and poultry meat products","food","Salmonella spp. in chicken neck skins from Poland ","23-06-2021 16:13:04","Poland","information notification for attention","not serious"
"2021.3308","meat and meat products (other than poultry)","food","Listeria in meat preparation","23-06-2021 15:49:01","Belgium","alert notification","serious"
"2021.3306","fruits and vegetables","food","unauthorised substance tetramethrin (0.89 mg/kg - ppm) in dried porcini mushrooms from Bulgaria, with raw material from China","23-06-2021 15:37:43","Italy","alert notification","serious"
"2021.3304","confectionery","food","Fragments of metal in confectionery from Turkey","23-06-2021 15:13:32","Sweden","information notification for follow-up","not serious"
"2021.3303","fruits and vegetables","food","spoilage of maize cobs from Morocco infested with moulds","23-06-2021 14:47:58","Spain","border rejection notification","not serious"
"2021.3302","feed materials","feed","Feed material with foreign bodies","23-06-2021 14:31:00","Sweden","information notification for follow-up","not serious"
"2021.3301","food contact materials","food contact material","High content of volatile constituents in baking silicone cake mold","23-06-2021 14:30:16","Slovenia","information notification for attention","not serious"
"2021.3300","dietetic foods, food supplements and fortified foods","food","Food poisoning suspected to be caused by food supplements with Garcinia cambogia extract traded online","23-06-2021 14:08:14","Spain","news","undecided"
"2021.3299","fish and products thereof ","food","mercury exceeds maximum limits in Monkfish from Morocco","23-06-2021 14:04:51","Spain","information notification for attention","serious"
"2021.3298","other food product / mixed","food","Glass piece in sushi from the Netherlands","23-06-2021 13:44:38","Netherlands","alert notification","serious"
"2021.3296","poultry meat and poultry meat products","food","Salmonella Enteritidis in poultry meat from Poland","23-06-2021 13:00:04","Poland","information notification for attention","serious"
"2021.3295","feed materials","feed","Chlorpyriphos in wheat from the Czech Republic","23-06-2021 12:30:04","Germany","information notification for follow-up","undecided"
"2021.3294","cereals and bakery products","food","Salmonella enterica ser. Newport in psyllium fibres from India, via Germany","23-06-2021 12:15:25","Finland","alert notification","serious"
"2021.3292","herbs and spices","food","Ethylene oxide in black pepper","23-06-2021 11:10:46","Belgium","alert notification","undecided"
"2021.3291","ices and desserts","food","Cashew nuts and walnuts not mentioned in the PAL of organic ice cream","23-06-2021 10:47:39","Belgium","alert notification","serious"
"2021.3290","nuts, nut products and seeds","food","Aflatoxins in pistachios from Iran","23-06-2021 09:21:59","Germany","border rejection notification","serious"
"2021.3288","poultry meat and poultry meat products","food","Salmonella Enteritidis in chilled chicken meat from Poland","22-06-2021 17:37:49","Poland","information notification for attention","serious"
"2021.3287","soups, broths, sauces and condiments","food","Glass fragments in Ajvar from Macedonia","22-06-2021 17:18:02","Austria","alert notification","serious"
"2021.3286","fish and products thereof ","food","Listeria monocytogenes (< 10 CFU/g) in chilled smoked trout from Poland","22-06-2021 17:17:22","France","alert notification","serious"
"2021.3285","herbs and spices","food","pesticides in Bio Brahmi powder","22-06-2021 17:12:46","Bulgaria","alert notification","serious"
"2021.3284","prepared dishes and snacks","food","Undeclared allergen in crisps from Belgium","22-06-2021 17:03:24","Sweden","alert notification","serious"
"2021.3283","food contact materials","food contact material","unauthorised use of bamboo and of maize in bamboo fibres, maize starch and melamine children's tableware","22-06-2021 17:00:04","Luxembourg","information notification for follow-up","not serious"
"2021.3280","nuts, nut products and seeds","food","insufficient labelling (missing lot number) for groundnut kernels from China","22-06-2021 15:58:56","Italy","border rejection notification","not serious"
"2021.3279","fish and products thereof ","food","Mercury in thawed vacuum-packed swordfish loins (Xiphias gladius) from Spain","22-06-2021 15:55:40","Italy","information notification for attention","serious"
"2021.3278","poultry meat and poultry meat products","food","Salmonella enterica ser. Enteritidis in chilled chicken meat from Poland","22-06-2021 15:03:42","Poland","information notification for attention","serious"
"2021.3276","fruits and vegetables","food","unauthorized additives (E 905, E 218 & E 319) in pineapple (Ananas comosus) from Costa Rica","22-06-2021 14:54:04","Spain","border rejection notification","undecided"
"2021.3275","fruits and vegetables","food","unauthorised food additives ethoxylated alcohol and 1,2 -benzoisothiazolinone in mangoes (Mangifera indica) from Brazil","22-06-2021 14:52:59","Spain","border rejection notification","not serious"
"2021.3274","fruits and vegetables","food","unauthorized additives (E218-E319) in pineapple (Ananas comosus) from Costa Rica","22-06-2021 14:52:13","Spain","border rejection notification","undecided"
"2021.3273","other food product / mixed","food","Ethylene oxide in rice crackers mix from China","22-06-2021 14:51:33","Netherlands","alert notification","serious"
"2021.3272","cereals and bakery products","food","Acrylamide in biscuits from United Kingdom","22-06-2021 14:49:46","Spain","border rejection notification","not serious"
"2021.3271","fruits and vegetables","food","Yuca (Manihot esculenta)- aditivos no autorizados en parafina de recubrimiento-Costa Rica/Yucca (Manihot esculenta) - unauthorized additives in coating paraffin-Costa Rica","22-06-2021 14:34:14","Spain","border rejection notification","not serious"
"2021.3268","nuts, nut products and seeds","food","aflatoxin in groundnuts kernels from Argentina","22-06-2021 12:44:36","Netherlands","border rejection notification","serious"
"2021.3266","fruits and vegetables","food","Unauthorised substance chlorpyrifos in oranges from Egypt","22-06-2021 11:59:13","Norway","information notification for attention","serious"
"2021.3265","fruits and vegetables","food","Aditivos de recubrimiento no autorizados-mangos-brasil/Unauthorized coating additives-mangos-Brazil (unauthorised food additives ethoxylated alcohol and 1,2 -benzoisothiazolinone in mangoes (Mangifera indica) from Brazil)","22-06-2021 10:32:24","Spain","border rejection notification","undecided"
"2021.3264","fruits and vegetables","food"," presencia de aditivos no autorizados-mangos- Brasil/presence of unauthorized additives-mangoes- Brazil (unauthorised food additives formaldehyde and ethoxylated alcohol in mangoes (Mangifera indica) from Brazil)","22-06-2021 10:31:52","Spain","border rejection notification","undecided"
"2021.3263","fruits and vegetables","food","sesame undeclared on organic hummus from the Netherlands","22-06-2021 09:15:59","Netherlands","alert notification","serious"
"2021.3262","fruits and vegetables","food","Too high level of lead in chopped onions from India, via Germany","22-06-2021 09:07:04","Switzerland","alert notification","serious"
"2021.3260","nuts, nut products and seeds","food","aflatoxins in chia seeds from Uganda, via Germany","21-06-2021 18:29:27","Belgium","alert notification","serious"
"2021.3259","cereals and bakery products","food","Unauthorised genetically modified (p35S and tNos) rice flour from unknown origin","21-06-2021 17:58:33","France","information notification for follow-up","undecided"
"2021.3258","fruits and vegetables","food","unauthorised food additives ethoxylated alcohol and 1,2 -benzoisothiazolinone in mangoes (Mangifera indica) from Brazil","21-06-2021 17:42:47","Spain","border rejection notification","not serious"
"2021.3257","fruits and vegetables","food","unauthorised food additives ethoxylated alcohol and 1,2 -benzoisothiazolinone in mangoes (Mangifera indica) from Brazil ","21-06-2021 17:41:49","Spain","border rejection notification","not serious"
"2021.3256","fruits and vegetables","food","\tunauthorised food additives ethoxylated alcohol and 1,2 -benzoisothiazolinone in mangoes (Mangifera indica) from Brazil","21-06-2021 17:41:20","Spain","border rejection notification","not serious"
"2021.3255","fruits and vegetables","food","unauthorised food additives ethoxylated alcohol and 1,2 -benzoisothiazolinone in mangoes (Mangifera indica) from Brazil","21-06-2021 17:40:49","Spain","border rejection notification","not serious"
"2021.3254","fruits and vegetables","food","ethoxylated alcohol and 1,2-benzoisothiazolidine in mango from Brazil","21-06-2021 17:22:16","Spain","border rejection notification","not serious"
"2021.3253","fruits and vegetables","food","unauthorized coating additive (E 905, microcrystalline wax and E 218 - methyl-p-hydroxybenzoate) in fresh pineapple (Ananas comosus) from Costa Rica","21-06-2021 17:20:43","Spain","border rejection notification","undecided"
"2021.3252","fruits and vegetables","food","ethoxylated alcohol and formaldehyde in mango from Brazil","21-06-2021 17:18:58","Spain","border rejection notification","undecided"
"2021.3251","fruits and vegetables","food","ethoxylated alcohol and formaldehyde as additive in coating agent in mangos from Brazil","21-06-2021 17:18:00","Spain","border rejection notification","undecided"
"2021.3250","poultry meat and poultry meat products","food","invalid certificate on poultry meat preparations from United Kingdom","21-06-2021 17:14:36","Spain","border rejection notification","undecided"
"2021.3249","fruits and vegetables","food","Unauthorized substance in coating agents on mangoes from Brazil ","21-06-2021 17:12:19","Spain","border rejection notification","not serious"
"2021.3248","cereals and bakery products","food"," Presence of additive E-282 over the limits on labeling in muffins from United Kingdom","21-06-2021 17:11:43","Spain","border rejection notification","undecided"
"2021.3247","dietetic foods, food supplements and fortified foods","food","CBD products traded online, www.swissoriginalcannabis.com ","21-06-2021 17:06:30","Denmark","information notification for follow-up","undecided"
"2021.3246","fruits and vegetables","food","Unauthorized additives in coating on mangoes from Brazil ","21-06-2021 17:01:37","Spain","border rejection notification","not serious"
"2021.3245","other food product / mixed","food","3-MCPD and glycidyl esters in wafers from Turkey","21-06-2021 16:56:53","Germany","information notification for attention","serious"
"2021.3243","dietetic foods, food supplements and fortified foods","food","Benzo(a)pyren and sum of 4 PAH in organic sea buckthorn oil from China ","21-06-2021 16:38:16","Czech Republic","information notification for attention","serious"
"2021.3242","fruits and vegetables","food","Chloorpyrifos-ethyl on Oranges from Morocco","21-06-2021 15:47:01","Netherlands","alert notification","undecided"
"2021.3241","fruits and vegetables","food","ACETAMIPRID IN FRESH PEPPERS FROM TURKEY","21-06-2021 15:16:19","Bulgaria","border rejection notification","serious"
"2021.3240","nuts, nut products and seeds","food","aflatoxines in groundnuts from Cameroon","21-06-2021 14:14:14","Belgium","alert notification","serious"
"2021.3238","fruits and vegetables","food","Pesticide residues of oxamyl  in young potatoes  from Greece","21-06-2021 13:54:38","Croatia","alert notification","serious"
"2021.3235","cereals and bakery products","food","unauthorised substance chlorpyrifos in organic quinoa from Bolivia","21-06-2021 12:09:54","Germany","information notification for follow-up","undecided"
"2021.2982","non-alcoholic beverages","food","Dye E 143 (Food Greeen No. 3) in soft drink from Korea","21-06-2021 11:23:42","Denmark","information notification for attention","undecided"
"2021.3234","food contact materials","food contact material","Melamine products with bamboo fibers on French web shop","21-06-2021 11:23:04","Belgium","information notification for follow-up","not serious"
"2021.3233","food contact materials","food contact material","Melamine products with bamboo fibers on UK web shop","21-06-2021 11:20:06","Belgium","information notification for follow-up","not serious"
"2021.3232","food contact materials","food contact material","unauthorised use of wheat straw in polypropylene tableware","21-06-2021 10:51:11","Luxembourg","information notification for follow-up","not serious"
"2021.3231","food contact materials","food contact material","Melamine products with plant fibers (bambou/cotton) on French web shop","21-06-2021 10:44:46","Belgium","information notification for follow-up","not serious"
"2021.3230","food contact materials","food contact material","Melamine products with bamboo fibers on French web shop","21-06-2021 10:33:48","Belgium","information notification for follow-up","not serious"
"2021.3000","dietetic foods, food supplements and fortified foods","food","5-Htp (hydroxytryptophan) - undeclared dietary supplement, questionable product composition.","21-06-2021 09:43:33","Poland","information notification for follow-up","undecided"
"2021.3229","fruits and vegetables","food","Unauthorized additives ethoxylated alcohol and 1,2-benzoisothiazolidine in the coating of mangoes from Brazil","21-06-2021 09:38:22","Spain","border rejection notification","not serious"
"2021.3226","fruits and vegetables","food","MANGOS FRESCOS. PRESENCIA SUSTANCIA NO AUTORIZADA COMO ADITIVO EN AGENTE RECUBRIMIENTO. BRASIL/FRESH MANGOES. PRESENCE OF UNAUTHORIZED SUBSTANCE AS AN ADDITIVE IN COATING AGENT. BRAZIL (unauthorised food additives ethoxylated alcohol and 1,2 -benzoisothiazolinone in mangoes (Mangifera indica) from Brazil)","21-06-2021 08:19:56","Spain","border rejection notification","undecided"
"2021.3225","fruits and vegetables","food","unauthorized additives E218- E319 in fresh pineapple (Ananas comosus) from Costa Rica","21-06-2021 08:18:37","Spain","border rejection notification","undecided"
"2021.3224","fruits and vegetables","food","unauthorised food additives ethoxylated alcohol and 1,2-benzoisothiazolidine in mangoes (Mangifera indica) from Brazil","21-06-2021 08:18:12","Spain","border rejection notification","not serious"
"2021.3223","fruits and vegetables","food","unauthorised food additives formaldehyde and ethoxylated alcohol in mangoes (Mangifera indica) from Brazil","21-06-2021 08:17:28","Spain","border rejection notification","not serious"
"2021.3222","fruits and vegetables","food","unauthorized E 905 microcrystalline wax in cassava (Manihot esculenta) from Costa Rica","21-06-2021 08:15:17","Spain","border rejection notification","undecided"
"2021.3221","fruits and vegetables","food","unauthorised food additives formaldehyde and ethoxylated alcohol in limes (Citrus latifolia) from Brazil","21-06-2021 08:14:38","Spain","border rejection notification","not serious"
"2021.3220","fruits and vegetables","food","E 905 - microcrystalline wax unauthorised in fresh cassava from Costa Rica  ","21-06-2021 08:13:46","Spain","border rejection notification","undecided"
"2021.3219","fruits and vegetables","food","Yuca (Manihot esculenta)- Aditivo E 905 como agente de recubrimiento-Costa Rica/Yucca (Manihot esculenta) - Additive E 905 as a coating agent-Costa Rica","21-06-2021 08:09:45","Spain","border rejection notification","undecided"
"2021.3218","poultry meat and poultry meat products","food","Certificado sanitario no válido- carne de pollo- Brasil/  invalid certificate-poultry meat- Brazil","21-06-2021 08:08:25","Spain","border rejection notification","undecided"
"2021.3217","fruits and vegetables","food","ethoxylated alcohol and 1,2-benzoisothiazolidine in mangoes (Mangifera indica) from Brazil","21-06-2021 08:04:49","Spain","border rejection notification","not serious"
"2021.3216","fruits and vegetables","food","ethoxylated alcohol and and 1,2-benzoisothiazolidine unauthorized in mango from Brazil","21-06-2021 08:03:36","Spain","border rejection notification","not serious"
"2021.3215","fruits and vegetables","food","ethoxylated alcohol and formaldehyde unauthorized in mango from Brazil","21-06-2021 08:01:48","Spain","border rejection notification","undecided"
"2021.3214","fruits and vegetables","food","formaldehyde and ethoxylated alcohol not authorised in mango from Brazil","21-06-2021 08:01:48","Spain","border rejection notification","not serious"
"2021.3213","fruits and vegetables","food","unauthorised food additives formaldehyde and ethoxylated alcohol in mangoes (Mangifera indica) from Brazil ","21-06-2021 07:58:06","Spain","border rejection notification","not serious"
"2021.3212","fruits and vegetables","food","unauthorised food additives formaldehyde and ethoxylated alcohol in mangoes (Mangifera indica) from Brazil","21-06-2021 07:57:33","Spain","border rejection notification","not serious"
"2021.3211","fruits and vegetables","food","unauthorised food additive ethoxylated alcohol in mangoes (Mangifera indica) from Brazil","21-06-2021 07:56:56","Spain","border rejection notification","not serious"
"2021.3210","fruits and vegetables","food","unauthorised food additive ethoxylated alcohol in mangoes (Mangifera indica) from Brazil","21-06-2021 07:56:23","Spain","border rejection notification","not serious"
"2021.3209","fruits and vegetables","food"," AGENTES DE RECUBRIMIENTOS NO AUTORIZADOS-MANGOS-BRASIL/UNAUTHORIZED COATING AGENTS-MANGOS-BRAZIL","21-06-2021 07:55:44","Spain","border rejection notification","undecided"
